time,queue_length,server_busy
0,0,0
1,0,1
2,0,0
3,0,1
4,0,1
5,3,1
6,2,1
7,2,1
8,2,1
9,2,1
10,1,1
11,0,1
12,0,1
13,1,1
14,3,1
15,5,1
16,6,1
17,7,1
18,6,1
19,7,1
20,9,1
21,11,1
22,9,1
23,8,1
24,8,1
25,7,1
26,6,1
27,5,1
28,7,1
29,7,1
30,10,1
31,8,1
32,9,1
33,9,1
34,10,1
35,11,1
36,10,1
37,8,1
38,8,1
39,8,1
40,7,1
41,7,1
42,6,1
43,6,1
44,5,1
45,4,1
46,7,1
47,9,1
48,8,1
49,9,1
50,10,1
51,9,1
52,10,1
53,9,1
54,8,1
55,7,1
56,7,1
57,8,1
58,8,1
59,8,1
60,7,1
61,8,1
62,9,1
63,9,1
64,9,1
65,11,1
66,11,1
67,11,1
68,10,1
69,11,1
70,11,1
71,11,1
72,11,1
73,10,1
74,11,1
75,15,1
76,16,1
77,16,1
78,14,1
79,15,1
80,15,1
81,18,1
82,17,1
83,16,1
84,16,1
85,16,1
86,16,1
87,15,1
88,14,1
89,15,1
90,14,1
91,13,1
92,13,1
93,13,1
94,12,1
95,15,1
96,15,1
97,15,1
98,14,1
99,15,1
100,18,1
101,17,1
102,16,1
103,16,1
104,16,1
105,17,1
106,16,1
107,15,1
108,15,1
109,14,1
110,12,1
111,13,1
112,16,1
113,17,1
114,17,1
115,16,1
116,18,1
117,18,1
118,17,1
119,16,1
