Waktu Datang Sekarang,Waktu Datang Sebelumnya,Jeda Waktu,Detik
18:11:45,18:10:40,0:01:05,65.00
18:12:00,18:11:45,0:00:15,15.00
18:12:45,18:12:00,0:00:45,45.00
18:13:42,18:12:45,0:00:57,57.00
18:13:50,18:13:42,0:00:08,8.00
18:15:00,18:13:50,0:01:10,70.00
18:16:25,18:15:00,0:01:25,85.00
18:17:25,18:16:25,0:01:00,60.00
18:18:35,18:17:25,0:01:10,70.00
18:19:46,18:18:35,0:01:11,71.00
18:19:57,18:19:46,0:00:11,11.00
18:22:01,18:19:57,0:02:04,124.00
18:22:20,18:22:01,0:00:19,19.00
18:22:38,18:22:20,0:00:18,18.00
18:23:40,18:22:38,0:01:02,62.00
