Waktu Datang,Waktu Pergi,Total Waktu,Detik
18:10:40,18:14:55,0:04:15,255.00
18:11:45,18:17:05,0:05:20,320.00
18:12:00,18:17:05,0:05:05,305.00
18:12:45,18:18:45,0:06:00,360.00
18:13:42,18:20:34,0:06:52,412.00
18:13:50,18:19:43,0:05:53,353.00
18:15:00,18:21:59,0:06:59,419.00
18:16:25,18:23:39,0:07:14,434.00
18:17:25,18:24:28,0:07:03,423.00
18:18:35,18:25:37,0:07:02,422.00
18:19:46,18:26:09,0:06:23,383.00
18:19:57,18:26:52,0:06:55,415.00
18:22:01,18:27:13,0:05:12,312.00
18:22:20,18:28:03,0:05:43,343.00
18:22:38,18:28:33,0:05:55,355.00
18:23:40,18:30:05,0:06:25,385.00
