Waktu Datang,Waktu Pergi,Total Waktu,Durasi
19:45:38,19:55:40,0:10:02,602
19:45:40,19:56:18,0:10:38,638
19:46:10,19:56:55,0:10:45,645
19:47:05,19:57:45,0:10:40,640
19:47:51,19:59:12,0:11:21,681
19:49:57,20:09:00,0:19:03,"1,143.00"
19:50:05,19:59:20,0:09:15,555
19:50:53,20:00:36,0:09:43,583
19:50:57,20:01:10,0:10:13,613
19:51:13,20:02:28,0:11:15,675
19:51:56,20:03:40,0:11:44,704
19:52:34,20:04:33,0:11:59,719
19:54:18,20:05:48,0:11:30,690
19:55:19,20:07:29,0:12:10,730
19:57:28,20:07:42,0:10:14,614
19:58:25,20:09:00,0:10:35,635
19:58:25,20:09:31,0:11:06,666
20:00:10,20:10:36,0:10:26,626
20:00:44,20:13:37,0:12:53,773
20:01:04,20:14:06,0:13:02,782
20:02:36,20:13:40,0:11:04,664
20:03:47,20:14:51,0:11:04,664
20:04:22,20:05:51,0:01:29,89
20:05:25,20:16:01,0:10:36,636
20:05:55,20:15:12,0:09:17,557
20:06:25,20:17:22,0:10:57,657
20:06:48,20:19:13,0:12:25,745
20:07:39,20:19:50,0:12:11,731
20:09:30,20:20:42,0:11:12,672
20:12:01,20:21:41,0:09:40,580
20:17:36,20:27:43,0:10:07,607
20:18:42,20:28:27,0:09:45,585
20:19:04,20:29:33,0:10:29,629
20:19:28,20:31:07,0:11:39,699
20:23:04,20:33:27,0:10:23,623
20:23:39,20:34:20,0:10:41,641
20:25:52,20:34:41,0:08:49,529
20:26:20,20:35:12,0:08:52,532
20:27:02,20:36:21,0:09:19,559
20:27:02,20:37:52,0:10:50,650
20:27:16,20:38:37,0:11:21,681
20:28:42,20:39:38,0:10:56,656
20:30:03,20:40:03,0:10:00,600
20:31:16,20:41:08,0:09:52,592
20:31:25,20:42:47,0:11:22,682
20:32:28,20:43:08,0:10:40,640
20:32:59,20:44:20,0:11:21,681
