No,Waktu Start Pelayanan,Waktu End Pelayanan,Durasi,Detik,Jenis Pembayaran,Jenis Motor
75,21:23:35,21:24:25,0:00:50,50,Tunai,Beat
76,21:24:25,21:24:57,0:00:32,32,Tunai,Astrea
77,21:24:57,21:25:30,0:00:33,33,Tunai,Pcx
78,21:25:30,21:26:00,0:00:30,30,Tunai,Beat
79,21:26:00,21:26:30,0:00:30,30,Tunai,Vario
80,21:26:30,21:27:00,0:00:30,30,Tunai,Pcx
81,21:27:00,21:27:29,0:00:29,29,Tunai,Scoopy
82,21:27:29,21:28:42,0:01:13,73,Qris,Vario
83,21:28:42,21:29:28,0:00:46,46,Tunai,Scoopy
84,21:29:28,21:30:20,0:00:52,52,Tunai,Vario
85,21:30:20,21:31:02,0:00:42,42,Tunai,Pcx
86,21:31:02,21:31:54,0:00:52,52,Qris,Beat
87,21:31:54,21:32:48,0:00:54,54,Tunai,Vario
88,21:32:48,21:33:53,0:01:05,65,Tunai,Scoopy
89,21:33:53,21:34:38,0:00:45,45,Tunai,Beat
90,21:34:38,21:35:45,0:01:07,67,Qris,Beat
91,21:35:45,21:36:40,0:00:55,55,Qris,Stylo
92,21:36:40,21:38:17,0:01:37,97,Qris,Scoopy
93,21:38:17,21:38:58,0:00:41,41,Tunai,Fazio
94,21:38:58,21:39:32,0:00:34,34,Tunai,Beat
95,21:39:32,21:40:00,0:00:28,28,Tunai,Scoopy
96,21:40:00,21:40:50,0:00:50,50,Tunai,Aerox
97,21:40:50,21:41:28,0:00:38,38,Tunai,Scoopy
98,21:41:28,21:41:57,0:00:29,29,Tunai,Beat
99,21:41:57,21:43:10,0:01:13,73,Qris,Nmax
100,21:43:10,21:43:50,0:00:40,40,Tunai,CRF
101,21:43:50,21:44:45,0:00:55,55,Qris,Pcx
102,21:44:45,21:45:33,0:00:48,48,Tunai,Tunai
103,21:45:33,21:46:22,0:00:49,49,Tunai,ADV
104,21:46:22,21:47:02,0:00:40,40,Tunai,Pcx
105,21:47:02,21:47:30,0:00:28,28,Tunai,Beat
106,21:47:30,21:48:38,0:01:08,68,Qris,Scropion
107,21:48:38,21:49:28,0:00:50,50,Tunai,Scoopy
108,21:49:28,21:49:57,0:00:29,29,Tunai,Nmax
109,21:49:57,21:50:34,0:00:37,37,Tunai,Beat
110,21:50:34,21:51:31,0:00:57,57,Qris,Aerox
111,21:51:31,21:52:10,0:00:39,39,Tunai,Beat
112,21:52:10,21:53:18,0:01:08,68,Qris,Beat
113,21:53:18,21:54:00,0:00:42,42,Tunai,Scoopy
